row_order,industry_name,naics_code,industry_name_norm,series_id,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period,display_level,matched,industry_code_8,parent_series_id,parent_rule,denominator_opt1,denominator_opt1_name,denominator_opt2,denominator_opt2_name,denominator_opt3,denominator_opt3_name,denominator_opt4,denominator_opt4_name,denominator_opt5,denominator_opt5_name
11,Underground coal mining,212115,underground coal mining,CES1021211501,10,10212115,1,S,"All employees, thousands, underground coal mining, seasonally adjusted",I,1990,M01,2025,M12,7,True,10212115,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
12,Metal ore mining,2122,metal ore mining,CES1021220001,10,10212200,1,S,"All employees, thousands, metal ore mining, seasonally adjusted",,1990,M01,2026,M01,5,True,10212200,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
13,Gold ore and silver ore mining,21222,gold ore and silver ore mining,CES1021222001,10,10212220,1,S,"All employees, thousands, gold ore and silver ore mining, seasonally adjusted",I,1990,M01,2025,M12,6,True,10212220,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
14,"Iron ore, copper, nickel, lead, zinc, and other metal ore mining","21221,3,9",iron ore copper nickel lead zinc and other metal ore mining,CES1021229001,10,10212290,1,S,"All employees, thousands, iron ore, copper, nickel, lead, zinc, and other metal ore mining, seasonally adjusted",I,1990,M01,2025,M12,6,True,10212290,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
15,Nonmetallic mineral mining and quarrying,2123,nonmetallic mineral mining and quarrying,CES1021230001,10,10212300,1,S,"All employees, thousands, nonmetallic mineral mining and quarrying, seasonally adjusted",,1990,M01,2026,M01,5,True,10212300,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
16,Stone mining and quarrying,21231,stone mining and quarrying,CES1021231001,10,10212310,1,S,"All employees, thousands, stone mining and quarrying, seasonally adjusted",I,1990,M01,2025,M12,6,True,10212310,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
17,Crushed and broken limestone mining and quarrying,212312,crushed and broken limestone mining and quarrying,CES1021231201,10,10212312,1,S,"All employees, thousands, crushed and broken limestone mining and quarrying, seasonally adjusted",I,1990,M01,2025,M12,7,True,10212312,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
18,"Dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying","212311,3,9",dimension stone crushed and broken granite and other crushed and broken stone mining and quarrying,CES1021231901,10,10212319,1,S,"All employees, thousands, dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying, seasonally adjusted",I,1990,M01,2025,M12,7,True,10212319,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
19,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",21232,sand gravel clay and ceramic and refractory minerals mining and quarrying,CES1021232001,10,10212320,1,S,"All employees, thousands, sand, gravel, clay, and ceramic and refractory minerals mining and quarrying, seasonally adjusted",I,1990,M01,2025,M12,6,True,10212320,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
20,Construction sand and gravel mining,212321,construction sand and gravel mining,CES1021232101,10,10212321,1,S,"All employees, thousands, construction sand and gravel mining, seasonally adjusted",I,1990,M01,2025,M12,7,True,10212321,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
21,Other nonmetallic mineral mining and quarrying,21239,other nonmetallic mineral mining and quarrying,CES1021239001,10,10212390,1,S,"All employees, thousands, other nonmetallic mineral mining and quarrying, seasonally adjusted",I,1990,M01,2025,M12,6,True,10212390,CES1021200001,parent_3digit,CES1021200001,Mining (except oil and gas),CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
22,Support activities for mining,213,support activities for mining,CES1021300001,10,10213000,1,S,"All employees, thousands, support activities for mining, seasonally adjusted",,1990,M01,2026,M01,4,True,10213000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
23,Drilling oil and gas wells,213111,drilling oil and gas wells,CES1021311101,10,10213111,1,S,"All employees, thousands, drilling oil and gas wells, seasonally adjusted",I,1990,M01,2025,M12,7,True,10213111,CES1021300001,parent_3digit,CES1021300001,Support activities for mining,CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
24,Support activities for oil and gas operations,213112,support activities for oil and gas operations,CES1021311201,10,10213112,1,S,"All employees, thousands, support activities for oil and gas operations, seasonally adjusted",I,1990,M01,2025,M12,7,True,10213112,CES1021300001,parent_3digit,CES1021300001,Support activities for mining,CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
25,"Support activities for coal, metal, and nonmetallic minerals mining","213113,4,5",support activities for coal metal and nonmetallic minerals mining,CES1021311501,10,10213115,1,S,"All employees, thousands, support activities for coal, metal, and nonmetallic minerals mining, seasonally adjusted",I,1990,M01,2025,M12,7,True,10213115,CES1021300001,parent_3digit,CES1021300001,Support activities for mining,CES1021000001,"Mining, quarrying, and oil and gas extraction",CES1000000001,Mining and logging,CES0600000001,Goods-producing,CES0500000001,Total private
26,Construction,23,construction,CES2000000001,20,20000000,1,S,"All employees, thousands, construction, seasonally adjusted",,1939,M01,2026,M01,2,True,20000000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES0500000001,Total private
27,Construction of buildings,236,construction of buildings,CES2023600001,20,20236000,1,S,"All employees, thousands, construction of buildings, seasonally adjusted",,1990,M01,2026,M01,4,True,20236000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
28,Residential building construction,2361,residential building construction,CES2023610001,20,20236100,1,S,"All employees, thousands, residential building construction, seasonally adjusted",,1985,M01,2026,M01,5,True,20236100,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
29,New single-family housing construction (except for-sale builders),236115,new single-family housing construction except for-sale builders,CES2023611501,20,20236115,1,S,"All employees, thousands, new single-family housing construction (except for-sale builders), seasonally adjusted",,1990,M01,2025,M12,7,True,20236115,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
30,New multifamily housing construction (except for-sale builders),236116,new multifamily housing construction except for-sale builders,CES2023611601,20,20236116,1,S,"All employees, thousands, new multifamily housing construction (except for-sale builders), seasonally adjusted",,1990,M01,2025,M12,7,True,20236116,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
31,New housing for-sale builders,236117,new housing for-sale builders,CES2023611701,20,20236117,1,S,"All employees, thousands, new housing for-sale builders, seasonally adjusted",,1990,M01,2025,M12,7,True,20236117,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
32,Residential remodelers,236118,residential remodelers,CES2023611801,20,20236118,1,S,"All employees, thousands, residential remodelers, seasonally adjusted",,1990,M01,2025,M12,7,True,20236118,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
33,Nonresidential building construction,2362,nonresidential building construction,CES2023620001,20,20236200,1,S,"All employees, thousands, nonresidential building construction, seasonally adjusted",,1990,M01,2026,M01,5,True,20236200,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
34,Industrial building construction,23621,industrial building construction,CES2023621001,20,20236210,1,S,"All employees, thousands, industrial building construction, seasonally adjusted",,1990,M01,2025,M12,6,True,20236210,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
35,Commercial and institutional building construction,23622,commercial and institutional building construction,CES2023622001,20,20236220,1,S,"All employees, thousands, commercial and institutional building construction, seasonally adjusted",,1990,M01,2025,M12,6,True,20236220,CES2023600001,parent_3digit,CES2023600001,Construction of buildings,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
36,Heavy and civil engineering construction,237,heavy and civil engineering construction,CES2023700001,20,20237000,1,S,"All employees, thousands, heavy and civil engineering construction, seasonally adjusted",,1990,M01,2026,M01,4,True,20237000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
37,Utility system construction,2371,utility system construction,CES2023710001,20,20237100,1,S,"All employees, thousands, utility system construction, seasonally adjusted",I,1990,M01,2025,M12,5,True,20237100,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
38,Water and sewer line and related structures construction,23711,water and sewer line and related structures construction,CES2023711001,20,20237110,1,S,"All employees, thousands, water and sewer line and related structures construction, seasonally adjusted",I,1990,M01,2025,M12,6,True,20237110,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
39,Oil and gas pipeline and related structures construction,23712,oil and gas pipeline and related structures construction,CES2023712001,20,20237120,1,S,"All employees, thousands, oil and gas pipeline and related structures construction, seasonally adjusted",I,1990,M01,2025,M12,6,True,20237120,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
40,Power and communication line and related structures construction,23713,power and communication line and related structures construction,CES2023713001,20,20237130,1,S,"All employees, thousands, power and communication line and related structures construction, seasonally adjusted",I,1990,M01,2025,M12,6,True,20237130,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
41,Land subdivision,2372,land subdivision,CES2023720001,20,20237200,1,S,"All employees, thousands, land subdivision, seasonally adjusted",I,1990,M01,2025,M12,5,True,20237200,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
42,"Highway, street, and bridge construction",2373,highway street and bridge construction,CES2023730001,20,20237300,1,S,"All employees, thousands, highway, street, and bridge construction, seasonally adjusted",I,1990,M01,2025,M12,5,True,20237300,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
