date,awe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,370.27,650.76,,,,,
2006-04,379.15,656.37,,,,,
2006-05,377.64,653.73,,,,,
2006-06,378.68,660.35,,,,,
2006-07,381.35,660.01,,,,,
2006-08,373.26,661.34,,,,,
2006-09,382.83,665.99,,,,,
2006-10,384.09,663.99,,,,,
2006-11,384.39,668.65,,,,,
2006-12,399.6,671.3,,,,,
2007-01,404.68,670.28,,,,,
2007-02,390.81,673.25,,,,,
2007-03,413.57,676.95,0.11694169119831478,0.04024525170569804,0.08895971823887551,0.07669643949261674,0.027981972959439272
2007-04,400.27,676.56,0.05570354740867732,0.030760089583618904,0.029774299775393774,0.024943457825058416,0.025929247633283546
2007-05,407.11,680.27,0.07803728418599733,0.04059780031511474,0.05093842675927113,0.037439483870882584,0.0270988574267262
2007-06,406.58,686.31,0.07367698320481667,0.039312485802983146,0.04674933206507436,0.03436449740183352,0.026927651139742305
2007-07,394.63,683.59,0.03482365281237701,0.03572673141316047,0.011644746947418887,-0.0009030786007834593,0.023178905864958122
2007-08,412.96,685.58,0.10636017789208592,0.03665285632201289,0.08738569310307714,0.06970732157007303,0.01897448478900878
2007-09,412.13,686.91,0.07653527675469533,0.03141188306130716,0.04819701245489265,0.04512339369338817,0.028338264299802688
2007-10,412.64,688.57,0.07433153687937727,0.03701862979864161,0.03822455322410242,0.03731290708073566,0.03610698365527485
2007-11,414.99,689.9,0.07960664949660508,0.03178045315187318,0.03587397622927833,0.0478261963447319,0.04373267326732675
2007-12,416.15,690.89,0.0414164164164163,0.02918218382243413,0.0003282824922410249,0.01223423259398217,0.04108813392417528
2008-01,435.05,692.55,0.0750469506770782,0.03322492092856714,0.0320999941254185,0.04182202974851106,0.0429469565516597
2008-02,424.57,694.88,0.08638468821166294,0.03212773858150761,0.044955095505543184,0.05425694963015533,0.041429592706119754
2008-03,422.82,697.2,0.022366225790071814,0.029913582982495013,-0.01738280971127262,-0.0075473571924232,0.03974903550134443
2008-04,422.24,698.86,0.05488795063332258,0.032960860825351886,0.01585034087343442,0.021927089807970694,0.03903760975988816
2008-05,425.42,701.18,0.04497555943111199,0.030737795287165345,0.004091421199872103,0.014237764143946646,0.04088413823123989
2008-06,433.65,702.18,0.06657976290029022,0.023123661319228928,0.017220101840811637,0.04345610158106129,0.04935966105947858
2008-07,442.83,703.38,0.12213972581912168,0.028950101669129102,0.06716460503570341,0.09318962414999257,0.05497512078341826
2008-08,445.81,708.16,0.07954765594730731,0.03293561655824255,0.026467484326395,0.04661203938906476,0.05308017162091231
2008-09,439.53,707.35,0.06648387644675219,0.02975644553143797,0.01695067769539152,0.03672743091531422,0.04953319875136067
2008-10,440.57,709.82,0.0676861186506398,0.030861059877717586,0.030375539751074772,0.036825058772922206,0.037310578899565024
2008-11,438.54,708.18,0.05674835538205743,0.026496593709233185,0.045749180675890545,0.030251761672824243,0.010999174706166882
2008-12,415.93,709.32,-0.0005286555328606763,0.02667573709273555,-0.0003063755073221342,-0.027204392625596225,-0.00022228002553854217
2009-01,450.87,711.48,0.03636363636363635,0.02733376651505316,0.03749949655385765,0.00902986984858319,-0.0011358601902212988
2009-02,445.59,713.97,0.049508914902136235,0.0274723693299563,0.0494242834954212,0.022036545572179937,8.463140671503516e-05
2009-03,450.14,709.79,0.06461378364315783,0.018057946069994144,0.06907857131978165,0.046555837573163686,-0.004464787676623829
2009-04,450.54,711.1,0.06702349374763171,0.017514237472455153,0.07278673799139873,0.04950925627517656,-0.005763244243767021
2009-05,444.31,712.42,0.04440317803582339,0.01603012065375511,0.05456079299437515,0.028373057382068276,-0.01015761495855176
2009-06,452.13,713.07,0.04261501210653757,0.015508843886183173,0.05490675828864672,0.027106168220354398,-0.01229174618210915
2009-07,453.93,714.71,0.025066052435471903,0.016107935966334044,0.044653662473094685,0.008958116469137859,-0.019587610037622785
2009-08,452.41,716.68,0.014804513133397687,0.012031179394487097,0.029642868796665348,0.00277333373891059,-0.01483835566326766
2009-09,460.46,720.18,0.04761904761904764,0.01813812115642882,0.06139847624791234,0.029480926462618816,-0.013779428628864701
2009-10,466.91,721.83,0.05978618607712743,0.016919782480065353,0.062025869019130785,0.04286640359706208,-0.0022396829420033566
2009-11,461.03,722.81,0.0512838053541295,0.02065858962410686,0.032137933609420216,0.030625215730022637,0.019145871744709282
2009-12,456.57,724.46,0.09770874906835281,0.021344386172672397,0.06956751783626919,0.07636436289568041,0.028141231232083615
2010-01,478.1,727.65,0.06039434870361749,0.02272727272727267,0.03418323481385041,0.03766707597634482,0.02621111388976708
2010-02,460.85,727.42,0.034246729055858634,0.01883832654033073,0.012733365477193379,0.015408402515527903,0.021513363578665255
2010-03,462.07,729.63,0.02650286577509221,0.027951929443920078,0.003641151381812348,-0.0014490636688278685,0.022861714393279862
2010-04,467.02,730.62,0.03657832822834812,0.027450428912951737,0.01451062070304365,0.009127899315396381,0.02206770752530447
2010-05,472.52,733.5,0.0634917062411379,0.029589287218214032,0.04345621694895211,0.03390241902292386,0.020035489292185786
2010-06,473.67,732.27,0.04764116515161573,0.026925827758845458,0.03642555921092939,0.020715337392770275,0.011215605940686347
2010-07,481.61,736.14,0.060978564976978844,0.029984189391501378,0.04757078017215786,0.030994375585477466,0.013407784804820985
2010-08,488.01,737.14,0.07868968413607118,0.028548306078026508,0.0671879087409587,0.05014137805804467,0.011501775395112481
2010-09,486.55,741.02,0.056660730573774125,0.028937210141909014,0.045477608101442316,0.02772352043186511,0.011183122472331806
2010-10,497.15,743.35,0.06476622903771594,0.02981311389108236,0.05309927754840135,0.03495311514663357,0.01166695148931458
2010-11,495.52,741.11,0.07481074984274344,0.025317856698164207,0.06396530207673999,0.049492893144579234,0.010845447766003454
2010-12,506.52,744.34,0.10940272028385568,0.02744112856472406,0.09502479006167641,0.08196159171913162,0.014377930222179279
2011-01,493.77,748.0,0.032775569964442496,0.02796674225245657,0.015767735049412646,0.004808827711985927,0.01700783491502985
2011-02,482.27,748.33,0.0464793316697406,0.028745429050617364,0.025230349936409154,0.017733902619123238,0.021248981733331448
2011-03,477.34,748.33,0.033046940939684424,0.025629428614503305,0.0068545258361432555,0.007417512325181119,0.02619241510354117
2011-04,477.92,751.91,0.02333947154297468,0.02913963483069169,-0.0074328729048940174,-0.0058001632877170105,0.030772344447868697
2011-05,459.26,753.91,-0.028062304241090307,0.02782549420586226,-0.06265202305005538,-0.05588779844695257,0.03458971880896507
2011-06,469.04,752.98,-0.009774737686575032,0.028281917871823284,-0.044797919192935555,-0.038056655558398315,0.03502318150636052
2011-07,463.49,759.24,-0.03762380349245241,0.03137990056239306,-0.0734226132624486,-0.06900370405484546,0.03579880976999619
2011-08,463.89,754.97,-0.049425216696379184,0.02418807824836536,-0.0869751770034601,-0.07361329494474454,0.03754996030708091
2011-09,464.25,758.91,-0.04583290514849452,0.024142398315834913,-0.08395912207668146,-0.06997530346432944,0.038126216928186935
2011-10,461.92,761.24,-0.07086392436890267,0.02406672496132372,-0.10608660567554318,-0.09493064933022638,0.03522268130664051
2011-11,458.94,762.24,-0.07382144010332577,0.028511287123368995,-0.10833576224914301,-0.10233272722669476,0.03451432214581724
2011-12,487.9,762.9,-0.03676064123825319,0.024934841604642963,-0.06738130962244712,-0.06169548284289615,0.03062066838419393
2012-01,479.06,766.86,-0.029791198331206796,0.025213903743315527,-0.059878861711061854,-0.05500510207452232,0.030087663379855058
2012-02,478.7,764.9,-0.0074024923797872426,0.022142637606403507,-0.036384276803261145,-0.02954512998619075,0.028981784423473902
2012-03,465.32,767.57,-0.025181212552897268,0.025710582229764953,-0.05100996536621827,-0.05089179478266222,0.025828752813321
2012-04,463.27,768.9,-0.03065366588550392,0.02259578938968761,-0.053385299626852484,-0.05324945527519153,0.02273163374134856
2012-05,462.07,767.58,0.006118538518486266,0.01813213778833027,-0.011260890856174472,-0.012013599269844003,0.017379429374660738
2012-06,465.98,771.56,-0.006523963841037017,0.024675290180349977,-0.0230626683240134,-0.031199254021386992,0.016538704482976386
2012-07,461.99,772.89,-0.00323631577811819,0.017978504820610055,-0.01741143057658308,-0.021214820598728246,0.014175114798464887
2012-08,461.42,772.56,-0.005324538144818751,0.02329893903068985,-0.022183887299639993,-0.028623477175508602,0.016859349154821242
2012-09,463.2,775.56,-0.0022617124394184412,0.021939360398466192,-0.021758881422238065,-0.024201072837884634,0.019497168982819623
2012-10,469.45,773.23,0.01630152407343257,0.01575061741369346,-0.005255256521936803,0.0005509066597391109,0.021556780595369373
2012-11,480.44,777.89,0.046847082407286356,0.020531591099916008,0.028886885373360142,0.026315491307370348,0.017960197033926213
2012-12,486.5,780.89,-0.002869440459110427,0.02358107222440688,-0.020464490256005944,-0.026450512683517308,0.017595049796895516
2013-01,474.53,779.54,-0.009456018035319229,0.01653496074902844,-0.026296635656302143,-0.025990978784347668,0.016840617620982913
2013-02,484.36,782.55,0.011823689158136672,0.02307491175317032,-0.008357715744438138,-0.011251222595033649,0.02018140490257481
2013-03,495.46,785.9,0.06477262958824032,0.02388055812499176,0.049585157176994056,0.04089207146324855,0.01518747241124626
2013-04,488.59,785.55,0.05465495283527963,0.02165431135388214,0.043266872359511,0.03300064148139749,0.011388080475768631
2013-05,499.35,786.21,0.08068041638712756,0.024271085750019534,0.06677652810793046,0.05640933063710803,0.013903888279197103
2013-06,500.24,788.54,0.0735224687754839,0.022007361708745943,0.05636453350391509,0.05151510706673797,0.017157935271568815
2013-07,498.33,786.84,0.07865971124916118,0.018049140239878955,0.05980499319500308,0.06061057100928223,0.018854718054158108
2013-08,498.55,790.21,0.08046898704000692,0.022846121984053138,0.06508089215400416,0.05762286505595378,0.015388094886002759
2013-09,497.15,791.87,0.07329447322970636,0.02102996544432418,0.06234713214795832,0.052264507785382185,0.010947341081748047
2013-10,494.8,790.49,0.05399936095430828,0.022321948191353143,0.04523136951939689,0.03167741276295514,0.008767991434911396
2013-11,489.28,794.87,0.01839980018316538,0.02182827906259242,0.006071098221210953,-0.0034284788794270403,0.012328701961954427
2013-12,491.36,793.15,0.009989722507708148,0.015700034575932578,-0.005138661159865257,-0.00571031206822443,0.015128383667573405
2014-01,492.24,794.48,0.03732113881103415,0.01916514867742522,0.021743550855284996,0.018155990133608933,0.015577587955749157
2014-02,490.85,794.73,0.013399124618052706,0.015564500670883732,0.002194378270327849,-0.002165376052831026,0.011204746347724857
2014-03,501.32,799.53,0.01182739272595167,0.01734317343173431,-0.00429955641345638,-0.005515780705782642,0.01612694913940805
2014-04,503.08,803.27,0.0296567674328169,0.022557443829164317,0.009505514396755208,0.007099323603652584,0.020151253036061693
2014-05,508.37,802.86,0.018063482527285433,0.021177547983363194,-0.003605994343512761,-0.0031140654560777616,0.021669476870798194
2014-06,515.09,804.53,0.029685750839597038,0.020277982093489244,0.00909593389365283,0.009407768746107794,0.02058981694594421
2014-07,518.9,805.53,0.04127786807938513,0.023753240811346575,0.021535489376079058,0.017524627268038558,0.019742378703306074
2014-08,523.59,809.95,0.050225654397753526,0.024980701332557177,0.03307467091478449,0.02524495306519635,0.017150983482969034
2014-09,530.71,808.19,0.06750477723021234,0.020609443469256382,0.050664267518980226,0.046895333760955955,0.01684050971123211
2014-10,525.6,811.62,0.06224737267582864,0.0267302559172159,0.04615195565431532,0.03551711675861274,0.01609541702151332
2014-11,531.8,814.29,0.08690320470896007,0.024431668071508497,0.07458795481575199,0.06247153663745157,0.012315249893208072
2014-12,540.24,813.29,0.0994789970693585,0.025392422618672365,0.0929477831497354,0.07408657445068614,0.006531213919623104
2015-01,562.02,817.3,0.14176011701608965,0.028723190011076347,0.14405942679814396,0.1130369270050133,-0.00229930978205432
2015-02,567.2,818.63,0.1555465009677091,0.03007310658965935,0.15641681559706114,0.12547339437804977,-0.0008703146293520363
2015-03,560.46,818.18,0.11796856299369674,0.023326204144935123,0.11818887583793553,0.09464235884876161,-0.00022031284423878735
2015-04,568.06,819.51,0.12916434761866893,0.020217361534726815,0.13020465751260799,0.10894698608394213,-0.001040309893939057
