date,ahe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,9.59,19.72,,,,,
2006-04,9.54,19.83,,,,,
2006-05,9.55,19.81,,,,,
2006-06,9.5,19.89,,,,,
2006-07,9.81,19.94,,,,,
2006-08,9.86,19.98,,,,,
2006-09,9.88,20.06,,,,,
2006-10,9.96,20.06,,,,,
2006-11,9.95,20.14,,,,,
2006-12,10.28,20.22,,,,,
2007-01,10.03,20.25,,,,,
2007-02,10.14,20.34,,,,,
2007-03,10.18,20.39,0.06152241918665275,0.03397565922920901,0.03354044622721348,0.02754675995744374,0.027981972959439272
2007-04,10.24,20.44,0.07337526205450745,0.030761472516389464,0.047446014421223905,0.04261378953811799,0.025929247633283546
2007-05,10.29,20.49,0.07748691099476424,0.0343260979303382,0.050388053568038035,0.04316081306442603,0.0270988574267262
2007-06,10.31,20.61,0.08526315789473689,0.036199095022624375,0.05833550675499458,0.04906406287211251,0.026927651139742305
2007-07,10.21,20.59,0.04077471967380228,0.03259779338014035,0.017595813808844157,0.00817692629366193,0.023178905864958122
2007-08,10.26,20.65,0.04056795131845846,0.03353353353353344,0.021593466529449677,0.007034417784925022,0.01897448478900878
2007-09,10.32,20.69,0.044534412955465535,0.031405782652043995,0.016196148655662847,0.01312863030342154,0.028338264299802688
2007-10,10.33,20.74,0.03714859437750996,0.03389830508474575,0.0010416107222351104,0.003250289292764212,0.03610698365527485
2007-11,10.37,20.78,0.04221105527638191,0.03177755710029794,-0.001521617990944843,0.010433498176083966,0.04373267326732675
2007-12,10.76,20.81,0.04669260700389109,0.029179030662710184,0.005604473079715816,0.01751357634118091,0.04108813392417528
2008-01,10.5,20.86,0.04685942173479568,0.03012345679012343,0.0039124651831359825,0.016735964944672253,0.0429469565516597
2008-02,10.57,20.93,0.042406311637080835,0.029006882989183868,0.0009767189309610805,0.013399428647896967,0.041429592706119754
2008-03,10.64,21.0,0.04518664047151286,0.029916625796959265,0.005437604970168423,0.015270014674553592,0.03974903550134443
2008-04,10.69,21.05,0.04394531249999993,0.02984344422700584,0.00490770274011177,0.01410186827299409,0.03903760975988816
2008-05,10.77,21.12,0.046647230320699756,0.030746705710102615,0.0057630920894598675,0.01590052461059714,0.04088413823123989
2008-06,10.82,21.15,0.04946653734238601,0.026200873362445375,0.0001068762829074324,0.023265663979940638,0.04935966105947858
2008-07,10.83,21.25,0.060724779627815785,0.0320543953375425,0.005749658844397522,0.028670384290273285,0.05497512078341826
2008-08,10.83,21.33,0.05555555555555559,0.032929782082324444,0.002475383934643277,0.022625773473231144,0.05308017162091231
2008-09,10.83,21.37,0.04941860465116277,0.032866118898018354,-0.00011459410019790117,0.016552485753144414,0.04953319875136067
2008-10,10.81,21.38,0.04646660212971931,0.03085824493731922,0.009156023230154284,0.015608357192400089,0.037310578899565024
2008-11,10.86,21.46,0.04725168756027003,0.03272377285851779,0.03625251285410315,0.014527914701752243,0.010999174706166882
2008-12,10.83,21.56,0.006505576208178465,0.03604036520903412,0.006727856233717007,-0.029534789000855655,-0.00022228002553854217
2009-01,10.86,21.56,0.03428571428571423,0.03355704697986574,0.03542157447593553,0.0007286673058484947,-0.0011358601902212988
2009-02,10.83,21.57,0.024597918637653718,0.0305781175346393,0.024513287230938683,-0.005980198896985582,8.463140671503516e-05
2009-03,10.78,21.64,0.013157894736841992,0.030476190476190504,0.01762268241346582,-0.01731829573934851,-0.004464787676623829
2009-04,10.77,21.68,0.00748362956033677,0.029928741092636532,0.013246873804103792,-0.022445111532299764,-0.005763244243767021
2009-05,10.81,21.72,0.003714020427112435,0.028409090909090808,0.013871635385664195,-0.024695070481978373,-0.01015761495855176
2009-06,10.83,21.74,0.0009242144177448971,0.027895981087470444,0.013215960599854047,-0.026971766669725547,-0.01229174618210915
2009-07,10.9,21.79,0.006463527239150534,0.025411764705882314,0.026051137276773318,-0.01894823746673178,-0.019587610037622785
2009-08,10.94,21.85,0.010156971375807889,0.02437880918893592,0.02499532703907555,-0.014221837813128031,-0.01483835566326766
2009-09,10.92,21.89,0.008310249307479211,0.024333177351427215,0.022089677936343914,-0.016022928043948004,-0.013779428628864701
2009-10,11.04,21.94,0.021276595744680726,0.02619270346117878,0.023516278686684083,-0.004916107716498055,-0.0022396829420033566
2009-11,10.96,21.97,0.009208103130755195,0.023765144454799533,-0.009937768613954087,-0.014557041324044338,0.019145871744709282
2009-12,10.95,22.02,0.011080332409972226,0.021335807050092807,-0.01706089882211139,-0.01025547464012058,0.028141231232083615
2010-01,10.91,22.05,0.004604051565377598,0.02272727272727282,-0.021607062324389484,-0.018123221161895225,0.02621111388976708
2010-02,10.87,22.11,0.0036934441366573544,0.025034770514603576,-0.0178199194420079,-0.021341326377946224,0.021513363578665255
2010-03,10.99,22.11,0.01948051948051956,0.02171903881700549,-0.003381194912760302,-0.0022385193364859307,0.022861714393279862
2010-04,10.98,22.14,0.019498607242339913,0.02121771217712181,-0.002569100282964556,-0.0017191049347818968,0.02206770752530447
