date,awp_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,98329.0,18662126.0,,,,,
2006-04,102793.0,18958618.0,,,,,
2006-05,98919.0,18859931.0,,,,,
2006-06,96066.0,19023659.0,,,,,
2006-07,96798.0,19106754.0,,,,,
2006-08,97765.0,19040541.0,,,,,
2006-09,96014.0,19110104.0,,,,,
2006-10,96154.0,19144738.0,,,,,
2006-11,95676.0,19054336.0,,,,,
2006-12,106050.0,19295765.0,,,,,
2007-01,100033.0,19193651.0,,,,,
2007-02,95725.0,19093910.0,,,,,
2007-03,100084.0,19305448.0,0.01784824415991213,0.03447206390097248,-0.01013372879952714,-0.01662381974106035,0.027981972959439272
2007-04,95246.0,19426642.0,-0.07341939626239141,0.024686609540843115,-0.09934864389567497,-0.09810600580323453,0.025929247633283546
2007-05,99117.0,19454308.0,0.0020016377035756527,0.031515332691302,-0.025097219723150547,-0.02951369498772635,0.0270988574267262
2007-06,98167.0,19532777.0,0.0218703807798805,0.02676235943884402,-0.005057270359861806,-0.004891978658963521,0.026927651139742305
2007-07,96246.0,19518901.0,-0.00570259716109837,0.021570749275360953,-0.028881503026056493,-0.027273346436459324,0.023178905864958122
2007-08,96732.0,19416966.0,-0.010566153531427402,0.01976965885580667,-0.029540638320436186,-0.030335812387234075,0.01897448478900878
2007-09,94955.0,19439656.0,-0.011029641510613036,0.01724490876658756,-0.03936790581041572,-0.0282745502772006,0.028338264299802688
2007-10,95451.0,19312757.0,-0.007311188302098716,0.008776249641024077,-0.04341817195737357,-0.016087437943122795,0.03610698365527485
2007-11,96028.0,19469690.0,0.003679083573727999,0.021798398012924724,-0.04005358969359875,-0.018119314439196725,0.04373267326732675
2007-12,91850.0,19512597.0,-0.1338991041961339,0.011237284450759014,-0.1749872381203092,-0.14513638864689293,0.04108813392417528
2008-01,96148.0,19420304.0,-0.038837183729369305,0.01180874863255563,-0.08178414028102901,-0.05064593236192494,0.0429469565516597
2008-02,98078.0,19454738.0,0.024580830504048055,0.018897543771809966,-0.0168487622020717,0.005683286732238089,0.041429592706119754
2008-03,96942.0,19603002.0,-0.03139362935134487,0.015412954933757559,-0.0711426648526893,-0.046806584285102426,0.03974903550134443
