date,awe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,1000.0,650.76,,,,,
2006-04,1032.29,656.37,,,,,
2006-05,1027.66,653.73,,,,,
2006-06,1025.54,660.35,,,,,
2006-07,1023.62,660.01,,,,,
2006-08,1018.25,661.34,,,,,
2006-09,1024.67,665.99,,,,,
2006-10,1017.1,663.99,,,,,
2006-11,1018.34,668.65,,,,,
2006-12,1020.52,671.3,,,,,
2007-01,1015.98,670.28,,,,,
2007-02,1015.63,673.25,,,,,
2007-03,1011.4,676.95,0.011399999999999978,0.04024525170569804,-0.016581972959439292,-0.028845251705698058,0.027981972959439272
2007-04,996.8,676.56,-0.034379873872652074,0.030760089583618904,-0.06030912150593562,-0.06513996345627097,0.025929247633283546
2007-05,990.41,680.27,-0.03624739699900756,0.04059780031511474,-0.06334625442573376,-0.0768451973141223,0.0270988574267262
2007-06,999.3,686.31,-0.025586520272246827,0.039312485802983146,-0.052514171411989136,-0.06489900607522997,0.026927651139742305
2007-07,1017.08,683.59,-0.00638908970125629,0.03572673141316047,-0.029567995566214412,-0.04211582111441676,0.023178905864958122
2007-08,1015.66,685.58,-0.002543579671004205,0.03665285632201289,-0.021518064460012986,-0.0391964359930171,0.01897448478900878
2007-09,1006.32,686.91,-0.01790820459269816,0.03141188306130716,-0.04624646889250085,-0.04932008765400532,0.028338264299802688
2007-10,1008.77,688.57,-0.008189951823812842,0.03701862979864161,-0.044296935479087696,-0.04520858162245445,0.03610698365527485
2007-11,1004.21,689.9,-0.013875522909833645,0.03178045315187318,-0.0576081961771604,-0.04565597606170683,0.04373267326732675
2007-12,1017.9,690.89,-0.0025673186218790464,0.02918218382243413,-0.043655452546054324,-0.031749502444313175,0.04108813392417528
2008-01,1043.24,692.55,0.026831236835370767,0.03322492092856714,-0.01611571971628893,-0.006393684093196371,0.0429469565516597
2008-02,1064.65,694.88,0.04826560853854267,0.03212773858150761,0.006836015832422916,0.01613786995703506,0.041429592706119754
2008-03,1065.86,697.2,0.05384615384615377,0.029913582982495013,0.01409711834480934,0.02393257086365876,0.03974903550134443
2008-04,1088.27,698.86,0.09176364365971111,0.032960860825351886,0.05272603389982295,0.058802782834359225,0.03903760975988816
2008-05,1068.34,701.18,0.0786845851717975,0.030737795287165345,0.037800446940557605,0.04794678988463215,0.04088413823123989
2008-06,1066.42,702.18,0.0671670169118384,0.023123661319228928,0.017807355852359825,0.04404335559260948,0.04935966105947858
2008-07,1087.33,703.38,0.0690702796240216,0.028950101669129102,0.014095158840603333,0.04012017795489249,0.05497512078341826
2008-08,1081.56,708.16,0.06488391784652342,0.03293561655824255,0.01180374622561111,0.03194830128828087,0.05308017162091231
