date,awe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,626.46,650.76,,,,,
2006-04,623.27,656.37,,,,,
2006-05,626.26,653.73,,,,,
2006-06,626.52,660.35,,,,,
2006-07,627.3,660.01,,,,,
2006-08,626.96,661.34,,,,,
2006-09,631.8,665.99,,,,,
2006-10,626.08,663.99,,,,,
2006-11,625.98,668.65,,,,,
2006-12,635.49,671.3,,,,,
2007-01,627.56,670.28,,,,,
2007-02,616.63,673.25,,,,,
2007-03,614.48,676.95,-0.019123327906011584,0.04024525170569804,-0.04710530086545085,-0.05936857961170962,0.027981972959439272
2007-04,614.06,676.56,-0.014776902466026018,0.030760089583618904,-0.040706150099309564,-0.045536992049644925,0.025929247633283546
2007-05,616.04,680.27,-0.01631910069300295,0.04059780031511474,-0.04341795811972915,-0.05691690100811769,0.0270988574267262
2007-06,618.9,686.31,-0.012162420992147106,0.039312485802983146,-0.03909007213188941,-0.051474906795130254,0.026927651139742305
2007-07,617.98,683.59,-0.014857325043838573,0.03572673141316047,-0.038036230908796695,-0.05058405645699904,0.023178905864958122
2007-08,640.76,685.58,0.02201097358683162,0.03665285632201289,0.0030364887978228394,-0.014641882735181272,0.01897448478900878
2007-09,623.5,686.91,-0.013137068692624177,0.03141188306130716,-0.04147533299242687,-0.04454895175393134,0.028338264299802688
2007-10,623.7,688.57,-0.0038014311270125147,0.03701862979864161,-0.03990841478228736,-0.04082006092565412,0.03610698365527485
2007-11,624.69,689.9,-0.002060768714655362,0.03178045315187318,-0.04579344198198211,-0.03384122186652854,0.04373267326732675
2007-12,620.58,690.89,-0.02346221026294665,0.02918218382243413,-0.06455034418712192,-0.05264439408538078,0.04108813392417528
2008-01,632.46,692.55,0.0078080183568106495,0.03322492092856714,-0.03513893819484905,-0.025416902571756488,0.0429469565516597
2008-02,636.7,694.88,0.03254788122537024,0.03212773858150761,-0.008881711480749517,0.00042014264386262823,0.041429592706119754
