row_order,industry_name,naics_code
373,"Beer, wine, and liquor retailers",4453
374,"Furniture, home furnishings, electronics, and appliance retailers",449
375,Furniture and home furnishings retailers,4491
376,Furniture retailers,44911
377,Home furnishings retailers,44912
378,Floor covering retailers,449121
379,Window treatment and all other home furnishings retailers,"449122,9"
380,Electronics and appliance retailers,4492
381,General merchandise retailers,455
382,Department stores,4551
383,"Warehouse clubs, supercenters, and other general merchandise retailers",4552
384,Health and personal care retailers,456
385,Pharmacies and drug retailers,45611
386,"Cosmetics, beauty supplies, and perfume retailers",45612
387,Optical goods retailers,45613
388,Other health and personal care retailers,45619
389,Food (health) supplement retailers,456191
390,All other health and personal care retailers,456199
391,Gasoline stations and fuel dealers,457
392,Gasoline stations,4571
393,Gasoline stations with convenience stores,45711
394,Other gasoline stations,45712
395,Fuel dealers,4572
396,"Clothing, clothing accessories, shoe, and jewelry retailers",458
397,Clothing and clothing accessories retailers,4581
398,Shoe retailers,4582
399,"Jewelry, luggage, and leather goods retailers",4583
400,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",459
401,"Sporting goods, hobby, and musical instrument retailers",4591
402,Sporting goods retailers,45911
403,"Hobby, toy, and game retailers",45912
404,"Sewing, needlework, and piece goods retailers",45913
405,Musical instrument and supplies retailers,45914
406,Book retailers and news dealers,4592
407,Florists,4593
408,"Office supplies, stationery, and gift retailers",4594
409,Office supplies and stationery retailers,45941
410,"Gift, novelty, and souvenir retailers",45942
411,Used merchandise retailers,4595
412,Other miscellaneous retailers,4599
413,Pet and pet supplies retailers,45991
414,Art dealers,45992
415,Manufactured (mobile) home dealers and all other miscellaneous retailers,"45993,9"
416,"Tobacco, electronic cigarette, and other smoking supplies retailers",459991
417,Transportation and warehousing,
418,Air transportation,481
419,Scheduled air transportation,4811
420,Nonscheduled air transportation,4812
421,Rail transportation,482
422,Water transportation,483
423,Truck transportation,484
424,General freight trucking,4841
425,"General freight trucking, local",48411
426,"General freight trucking, long-distance",48412
427,"General freight trucking, long-distance, truckload",484121
428,"General freight trucking, long-distance, less than truckload",484122
429,Specialized freight trucking,4842
430,Used household and office goods moving,48421
431,"Specialized freight (except used goods) trucking, local",48422
432,"Specialized freight (except used goods) trucking, long-distance",48423
433,Transit and ground passenger transportation,485
434,Taxi and limousine service,4853
435,School and employee bus transportation,4854
436,"Urban transit systems and interurban, rural, and charter bus transportation","4851,2,5"
437,Other transit and ground passenger transportation,4859
438,Pipeline transportation,486
439,Scenic and sightseeing transportation,487
440,Support activities for transportation,488
441,Support activities for air transportation,4881
442,Support activities for water transportation,4883
443,Marine cargo handling,48832
444,Support activities for road transportation,4884
445,Freight transportation arrangement,4885
446,"Other support activities for transportation, including rail","4882,9"
447,Couriers and messengers,492
448,Couriers and express delivery services,4921
449,Local messengers and delivery and private postal service,"49111,221"
450,Warehousing and storage,493
451,General warehousing and storage,49311
452,Refrigerated warehousing and storage,49312
453,"Other warehousing and storage, including farm product","49313,9"
454,Utilities,22
455,"Electric power generation, transmission and distribution",2211
456,Electric power generation,22111
457,Fossil fuel electric power generation,221112
458,"Hydroelectric and nuclear, solar, wind, geothermal, biomass, and other electric power generation","221111,3-8"
459,"Electric power transmission, control, and distribution",22112
460,Electric bulk power transmission and control,221121
461,Electric power distribution,221122
462,Natural gas distribution,2212
463,"Water, sewage, and other systems",2213
464,Information,51
465,Motion picture and sound recording industries,512
466,Motion picture and video production,51211
467,Motion picture and video exhibition,51213
468,Publishing industries,513
469,"Newspaper, periodical, book, and directory publishers",5131
470,Newspaper publishers,51311
471,Periodical publishers,51312
472,Book publishers,51313
473,"Directory, mailing list, and other publishers","51314,9"
474,Software publishers,5132
475,Broadcasting and content providers,516
476,Radio and television broadcasting stations,5161
477,Radio broadcasting stations,51611
478,Television broadcasting stations,51612
479,"Media streaming distribution services, social networks, and other media networks and content providers",5162
480,Telecommunications,517
