row_order,industry_name,naics_code
679,Offices of physicians (except mental health specialists),621111
680,"Offices of physicians, mental health specialists",621112
681,Offices of dentists,6212
682,Offices of other health practitioners,6213
683,Offices of chiropractors,62131
684,Offices of optometrists,62132
685,Offices of mental health practitioners (except physicians),62133
686,"Offices of physical, occupational and speech therapists, and audiologists",62134
687,Offices of all other health practitioners,62139
688,Offices of podiatrists,621391
689,Offices of all other miscellaneous health practitioners,621399
690,Outpatient care centers,6214
691,Outpatient mental health and substance abuse centers,62142
692,Other outpatient care centers,"62141,9"
693,HMO medical centers,621491
694,Kidney dialysis centers,621492
695,Freestanding ambulatory surgical and emergency centers,621493
696,Family planning and all other outpatient care centers,"621410,98"
697,Medical and diagnostic laboratories,6215
698,Medical laboratories,621511
699,Diagnostic imaging centers,621512
700,Home health care services,6216
701,Other ambulatory health care services,6219
702,Ambulance services,62191
703,All other ambulatory health care services,62199
704,Blood and organ banks,621991
705,All other miscellaneous ambulatory health care services,621999
706,Hospitals,622
707,General medical and surgical hospitals,6221
708,Psychiatric and substance abuse hospitals,6222
709,"Specialty, except psychiatric and substance abuse, hospitals",6223
710,Nursing and residential care facilities,623
711,Skilled nursing care facilities,6231
712,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",6232
713,Residential intellectual and developmental disability facilities,62321
714,Residential mental health and substance abuse facilities,62322
715,Continuing care retirement communities and assisted living facilities for the elderly,6233
716,Continuing care retirement communities,623311
717,Assisted living facilities for the elderly,623312
718,Other residential care facilities,6239
719,Social assistance,624
720,Individual and family services,6241
721,Child and youth services,62411
722,Services for the elderly and persons with disabilities,62412
723,Other individual and family services,62419
724,"Community food and housing, and emergency and other relief services",6242
725,Community food services,62421
726,"Community housing, emergency, and relief services","62422,3"
727,Vocational rehabilitation services,6243
728,Child care services,6244
729,Leisure and hospitality,
730,"Arts, entertainment, and recreation",71
731,"Performing arts, spectator sports, and related industries",711
732,Performing arts companies,7111
733,Musical groups and artists,71113
734,"Theater, dance, and other performing arts companies and dinner theaters","71111,2,9"
735,Spectator sports,7112
736,Sports teams and clubs,711211
737,Racetracks and other spectator sports,"711212,9"
738,Arts and sports promoters and agents and managers for public figures,"7113,4"
739,"Independent artists, writers, and performers",7115
740,"Museums, historical sites, and similar institutions",712
741,Museums,71211
742,"Historical sites, zoos, botanical gardens, nature parks, and other similar institutions","71212,3,9"
743,"Amusement, gambling, and recreation industries",713
744,Amusement parks and arcades,7131
745,Gambling industries,7132
746,"Casinos, except casino hotels",71321
747,Other gambling industries,71329
748,Other amusement and recreation industries,7139
749,Golf courses and country clubs,71391
750,Skiing facilities,71392
751,Marinas,71393
752,Fitness and recreational sports centers,71394
753,Bowling centers,71395
754,All other amusement and recreation industries,71399
755,Accommodation and food services,72
756,Accommodation,721
757,Traveler accommodation,7211
758,Hotels (except casino hotels) and motels,72111
759,Casino hotels,72112
760,Other traveler accommodation,72119
761,Bed-and-breakfast inns,721191
762,"All other traveler accommodation and rooming and boarding houses, dormitories, and workers' camps","721310,199"
763,Recreational vehicle (RV) parks and recreational camps,7212
764,Food services and drinking places,722
765,Special food services,7223
766,Food service contractors,72231
767,Caterers and mobile food services,"72232,3"
768,"Drinking places, alcoholic beverages",7224
769,Restaurants and other eating places,7225
770,Full-service restaurants,722511
771,Limited-service restaurants,722513
772,"Cafeterias, grill buffets, and buffets",722514
773,Snack and nonalcoholic beverage bars,722515
774,Other services,81
775,Repair and maintenance,811
776,Automotive repair and maintenance,8111
777,Automotive mechanical and electrical repair and maintenance,81111
778,General automotive repair,811111
779,Specialized automotive repair,811114
780,"Automotive body, paint, interior, and glass repair",81112
781,"Automotive body, paint, and interior repair and maintenance",811121
782,Automotive glass replacement shops,811122
783,Other automotive repair and maintenance,81119
784,Car washes,811192
785,Automotive oil change and lubrication shops and all other automotive repair and maintenance,"811191,8"
786,Electronic and precision equipment repair and maintenance,8112
787,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,8113
788,Personal and household goods repair and maintenance,8114
789,Personal and laundry services,812
790,Personal care services,8121
791,"Hair, nail, and skin care services",81211
792,Barber shops and beauty salons,"812111,2"
793,Nail salons,812113
794,Other personal care services,81219
795,Death care services,8122
796,Funeral homes and funeral services,81221
797,Cemeteries and crematories,81222
798,Drycleaning and laundry services,8123
799,Coin-operated laundries and drycleaners,81231
800,"Drycleaning and laundry services, except coin-operated",81232
801,Linen and uniform supply,81233
802,Linen supply,812331
803,Industrial launderers,812332
804,Other personal services,8129
805,Pet care (except veterinary) services,81291
806,Parking lots and garages,81293
807,Photofinishing and all other personal services,"81292,9"
808,"Religious, grantmaking, civic, professional, and similar organizations",813
809,Grantmaking and giving services,8132
810,Grantmaking foundations,813211
811,Voluntary health organizations,813212
812,Other grantmaking and giving services,813219
813,Social advocacy organizations,8133
814,Human rights organizations,813311
815,"Environment, conservation, wildlife, and other social advocacy organizations","813312,9"
816,Civic and social organizations,8134
817,"Business, professional, labor, political, and similar organizations",8139
818,Business associations,81391
819,Professional organizations,81392
820,Labor unions and similar labor organizations,81393
821,"Political and other similar organizations (except business, professional, and labor organizations)","81394,9"
822,Government,
823,Federal,
824,"Federal, except U.S. Postal Service",
825,Federal hospitals,
826,Department of Defense,
827,U.S. Postal Service,
828,Other Federal government,
829,State government,
830,State government education,
831,"State government, excluding education",
832,State hospitals,
833,State government general administration,
834,Other State government,
835,Local government,
836,Local government education,
837,"Local government, excluding education",
838,Local government utilities,
839,Local government transportation,
840,Local hospitals,
841,Local government general administration,
842,Other local government,
