date,awp_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,65797.0,59588792.0,,,,,
2006-04,65504.0,60165767.0,,,,,
2006-05,65390.0,59965999.0,,,,,
2006-06,66168.0,60633810.0,,,,,
2006-07,67695.0,60700830.0,,,,,
2006-08,68070.0,60919160.0,,,,,
2006-09,67754.0,61411784.0,,,,,
2006-10,68243.0,61303179.0,,,,,
2006-11,69064.0,61901418.0,,,,,
2006-12,68307.0,62272181.0,,,,,
2007-01,68445.0,62297363.0,,,,,
2007-02,68784.0,62679947.0,,,,,
2007-03,69668.0,63126074.0,0.05883246956548171,0.059361532282782306,0.030850496606042437,-0.0005290627173005977,0.027981972959439272
2007-04,70420.0,63141695.0,0.07504885197850512,0.04946214680517577,0.04911960434522158,0.025586705173329352,0.025929247633283546
2007-05,69243.0,63593502.0,0.058923382780241625,0.06049266351753766,0.031824525353515425,-0.001569280737296036,0.0270988574267262
2007-06,69526.0,64203200.0,0.0507496070608149,0.05886798141169094,0.023821955921072592,-0.008118374350876041,0.026927651139742305
2007-07,69438.0,63986575.0,0.025747839574562375,0.054130149455946484,0.0025689337096042528,-0.02838230988138411,0.023178905864958122
2007-08,69091.0,64189493.0,0.014999265462024387,0.05368315978092935,-0.003975219326984395,-0.03868389431890496,0.01897448478900878
2007-09,67944.0,64384570.0,0.0028042624789680315,0.048407419657439034,-0.025534001820834658,-0.045603157178471,0.028338264299802688
2007-10,68534.0,64606967.0,0.004264173614876251,0.053892604819074715,-0.0318428100403986,-0.049628431204198464,0.03610698365527485
2007-11,66606.0,64814358.0,-0.035590177226919956,0.04705772652897871,-0.0793228504942467,-0.08264790375589867,0.04373267326732675
2007-12,67107.0,64979079.0,-0.017567745619043437,0.043468816356375894,-0.058655879543218714,-0.06103656197541933,0.04108813392417528
2008-01,68418.0,65144216.0,-0.0003944773175542406,0.045697809070987486,-0.04334143386921394,-0.04609228638854173,0.0429469565516597
2008-02,67289.0,65333623.0,-0.021734705745522213,0.04233692156759482,-0.06316429845164197,-0.06407162731311702,0.041429592706119754
2008-03,69243.0,65540979.0,-0.006100361715565252,0.03825526992221946,-0.045849397216909685,-0.04435563163778471,0.03974903550134443
2008-04,68702.0,65636237.0,-0.024396478273217836,0.03950704839330018,-0.06343408803310599,-0.06390352666651802,0.03903760975988816
2008-05,68889.0,65753530.0,-0.0051124301373424025,0.03396617472017817,-0.04599656836858229,-0.03907860485752057,0.04088413823123989
2008-06,68342.0,65799892.0,-0.0170296004372465,0.024869352306427093,-0.06638926149672508,-0.04189895274367359,0.04935966105947858
2008-07,67666.0,65821833.0,-0.025519168178806992,0.028681922731447963,-0.08049428896222525,-0.054201090910254955,0.05497512078341826
2008-08,67157.0,66143178.0,-0.027992068431488906,0.030436211733281645,-0.08107224005240121,-0.05842828016477055,0.05308017162091231
2008-09,66940.0,65873816.0,-0.014776875073590016,0.02313047986497386,-0.06431007382495069,-0.03790735493856388,0.04953319875136067
2008-10,66714.0,65910670.0,-0.026556161905039833,0.020178984721570353,-0.06386674080460486,-0.046735146626610186,0.037310578899565024
2008-11,65929.0,65411754.0,-0.010164249467014984,0.009217031818783116,-0.021163424173181865,-0.0193812812857981,0.010999174706166882
2008-12,66418.0,65242199.0,-0.010267185241480025,0.004049303314994661,-0.010044905215941483,-0.014316488556474686,-0.00022228002553854217
2009-01,65943.0,65186509.0,-0.036174690870823464,0.0006492211065983203,-0.035038830680602165,-0.03682391197742178,-0.0011358601902212988
2009-02,65439.0,65097376.0,-0.02749334958165525,-0.003616009477998794,-0.027577980988370283,-0.023877340103656455,8.463140671503516e-05
2009-03,64474.0,64392330.0,-0.06887338792368904,-0.017525661311833623,-0.06440860024706521,-0.05134772661185541,-0.004464787676623829
2009-04,64621.0,64187087.0,-0.059401473028441676,-0.022078505201326516,-0.053638228784674655,-0.03732296782711516,-0.005763244243767021
2009-05,64488.0,64263485.0,-0.06388538083003092,-0.022661064736752536,-0.05372776587147916,-0.04122431609327839,-0.01015761495855176
2009-06,62859.0,64192872.0,-0.08022884902402622,-0.024422836438698105,-0.06793710284191706,-0.05580601258532811,-0.01229174618210915
2009-07,63492.0,64236179.0,-0.061685336801347794,-0.024090091808898727,-0.04209772676372501,-0.03759524499244907,-0.019587610037622785
2009-08,63769.0,64357143.0,-0.050448947987551555,-0.027002557996230542,-0.035610592324283895,-0.023446389991321013,-0.01483835566326766
2009-09,64067.0,64644169.0,-0.0429190319689274,-0.018666703626217737,-0.0291396033400627,-0.024252328342709663,-0.013779428628864701
2009-10,62933.0,64699436.0,-0.05667476091974698,-0.01837690316302353,-0.05443507797774362,-0.03829785775672345,-0.0022396829420033566
2009-11,63257.0,64811742.0,-0.04052844726903184,-0.009172846825052268,-0.05967431901374112,-0.03135560044397957,0.019145871744709282
2009-12,62652.0,64870876.0,-0.0567014965822518,-0.005691454391351831,-0.08484272781433541,-0.05101004219089997,0.028141231232083615
2010-01,62932.0,65210538.0,-0.04566064631575755,0.0003686192184336793,-0.07187176020552463,-0.04602926553419123,0.02621111388976708
2010-02,62842.0,65189102.0,-0.039685814269777964,0.0014090583313219876,-0.06119917784844322,-0.04109487260109995,0.021513363578665255
2010-03,62775.0,65441244.0,-0.026351707665105313,0.01628942453239384,-0.04921342205838518,-0.042641132197499154,0.022861714393279862
2010-04,62420.0,65635978.0,-0.03406013525015088,0.02257293589285334,-0.05612784277545535,-0.05663307114300421,0.02206770752530447
2010-05,64005.0,65955229.0,-0.00748976553777447,0.026325120712018653,-0.027525254829960256,-0.03381488624979312,0.020035489292185786
2010-06,64768.0,65921142.0,0.030369557263080865,0.026923082674973633,0.019153951322394516,0.003446474588107231,0.011215605940686347
2010-07,65570.0,66314053.0,0.03272853272853273,0.03234740970505111,0.019320747923711745,0.00038112302348162347,0.013407784804820985
2010-08,65766.0,66502295.0,0.03131615675328137,0.033331995486499455,0.01981438135816889,-0.0020158387332180824,0.011501775395112481
2010-09,66897.0,66930761.0,0.04417250690683191,0.03537197608650519,0.0329893844345001,0.008800530820326717,0.011183122472331806
2010-10,66007.0,67299011.0,0.048845597699140354,0.040179252876331104,0.03717864620982578,0.00866634482280925,0.01166695148931458
2010-11,66461.0,67180792.0,0.05065052089096859,0.03655279007930384,0.03980507312496513,0.014097730811664745,0.010845447766003454
2010-12,66502.0,67574530.0,0.06145055225691119,0.04167747017937603,0.04707262203473191,0.019773082077535163,0.014377930222179279
2011-01,65766.0,67924773.0,0.04503273374435899,0.04162264387390885,0.02802489882932914,0.0034100898704501406,0.01700783491502985
2011-02,65776.0,68109817.0,0.0466885204162821,0.04480373115125899,0.025439538682950655,0.0018847892650231124,0.021248981733331448
2011-03,65348.0,68248257.0,0.04098765432098765,0.04289363753537448,0.014795239217446483,-0.0019059832143868277,0.02619241510354117
2011-04,65880.0,68779086.0,0.05543095161807113,0.047886968333129734,0.02465860717020243,0.007543983284941394,0.030772344447868697
2011-05,65693.0,69046272.0,0.02637293961409265,0.046865776176745595,-0.008216779194872417,-0.020492836562652945,0.03458971880896507
2011-06,66626.0,69078767.0,0.028687005928853756,0.04790003486286691,-0.0063361755775067675,-0.019213028934013155,0.03502318150636052
2011-07,66793.0,69749851.0,0.01865182247979259,0.05181100904811232,-0.017146987290203603,-0.03315918656831973,0.03579880976999619
2011-08,66759.0,69459330.0,0.015098987318675303,0.04446515717991387,-0.022450972988405607,-0.029366169861238564,0.03754996030708091
2011-09,66813.0,69981093.0,-0.0012556616888649715,0.0455744407268879,-0.039381878617051905,-0.04683010241575287,0.038126216928186935
2011-10,67174.0,70326984.0,0.01767994303634463,0.04499283057814921,-0.01754273827029588,-0.027312887541804578,0.03522268130664051
2011-11,67149.0,70543501.0,0.010351935721701448,0.050054619778820114,-0.024162386424115792,-0.039702684057118666,0.03451432214581724
2011-12,66851.0,70727981.0,0.0052479624672942165,0.0466662661212738,-0.025372705916899715,-0.04141830365397958,0.03062066838419393
2012-01,68276.0,71328317.0,0.03816561749232126,0.05010755059866008,0.008077954112466201,-0.011941933106338821,0.030087663379855058
2012-02,68305.0,71323963.0,0.038448674288494286,0.047190642136066815,0.009466889865020384,-0.00874196784757253,0.028981784423473902
2012-03,69707.0,71729710.0,0.0667044132949746,0.05101160312416477,0.0408756604816536,0.015692810170809833,0.025828752813321
2012-04,67811.0,71914174.0,0.029310868245294476,0.04558199566653154,0.006579234503945916,-0.016271127421237062,0.02273163374134856
2012-05,68001.0,71887317.0,0.035133119206003684,0.04114697170036928,0.017753689831342945,-0.006013852494365597,0.017379429374660738
2012-06,68183.0,72289102.0,0.023369255245699876,0.046473542297012914,0.00683055076272349,-0.02310428705131304,0.016538704482976386
2012-07,68020.0,72510500.0,0.018370188492806132,0.039579281681906386,0.004195073694341245,-0.021209093189100255,0.014175114798464887
2012-08,68148.0,72607509.0,0.020806183435941223,0.0453240622965986,0.003946834281119981,-0.024517878860657375,0.016859349154821242
2012-09,68111.0,73018692.0,0.019427356951491476,0.04340599538792571,-6.981203132814737e-05,-0.023978638436434233,0.019497168982819623
2012-10,68009.0,72926230.0,0.012430404620835443,0.036959440774539686,-0.00912637597453393,-0.02452903615370424,0.021556780595369373
2012-11,68017.0,73497965.0,0.012926476939343847,0.04188144844129582,-0.0050337200945823665,-0.028954971501951976,0.017960197033926213
2012-12,68441.0,73930299.0,0.02378423658584015,0.04527653631170385,0.006189186788944635,-0.0214922997258637,0.017595049796895516
2013-01,68046.0,73921051.0,-0.0033686800632725996,0.03634929448847083,-0.020209297684255514,-0.03971797455174343,0.016840617620982913
2013-02,67728.0,74380602.0,-0.00844740502159432,0.04285570895717054,-0.028628809924169128,-0.05130311397876486,0.02018140490257481
2013-03,67706.0,74802152.0,-0.028705868851047957,0.042833604095151086,-0.043893341262294217,-0.07153947294619904,0.01518747241124626
2013-04,68571.0,74919976.0,0.011207621182404036,0.04179707327237048,-0.00018045929336459564,-0.03058945208996644,0.011388080475768631
2013-05,68709.0,75133654.0,0.010411611593947148,0.045158689118972126,-0.0034922766852499548,-0.034747077525024976,0.013903888279197103
2013-06,68367.0,75493616.0,0.002698619890588563,0.04432914383138969,-0.014459315380980251,-0.04163052394080113,0.017157935271568815
2013-07,67848.0,75451652.0,-0.002528668038812114,0.04056173933430331,-0.021383386092970223,-0.04309040737311542,0.018854718054158108
2013-08,68062.0,75921691.0,-0.0012619592651288373,0.045645168738676876,-0.016650054151131598,-0.04690712800380571,0.015388094886002759
2013-09,68406.0,76176686.0,0.004331165303695438,0.04324911763689221,-0.006616175778052609,-0.03891795233319677,0.010947341081748047
2013-10,68652.0,76186833.0,0.009454631004719964,0.04471097710659114,0.0006866395698085677,-0.03525634610187117,0.008767991434911396
2013-11,69445.0,76775802.0,0.020994751312171957,0.04459765654736155,0.00866604935021753,-0.023602905235189594,0.012328701961954427
2013-12,68936.0,76692657.0,0.007232506830700896,0.037364355850907624,-0.007895876836872508,-0.030131849020206727,0.015128383667573405
2014-01,68595.0,76931504.0,0.00806807159862446,0.04072524618190291,-0.007509516357124697,-0.03265717458327845,0.015577587955749157
2014-02,68570.0,77026121.0,0.012432081266241436,0.03556732439460493,0.0012273349185165788,-0.023135243128363493,0.011204746347724857
2014-03,69249.0,77665843.0,0.022789708445337193,0.03828353761800864,0.006662759305929144,-0.015493829172671444,0.01612694913940805
2014-04,69320.0,78211177.0,0.010922984935322512,0.043929552246519676,-0.00922826810073918,-0.033006567311197166,0.020151253036061693
2014-05,69375.0,78330521.0,0.009693053311793215,0.04254906862376213,-0.01197642355900498,-0.03285601531196891,0.021669476870798194
