date,awe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2006-03,739.44,650.76,,,,,
2006-04,736.79,656.37,,,,,
2006-05,763.05,653.73,,,,,
2006-06,777.78,660.35,,,,,
2006-07,799.31,660.01,,,,,
2006-08,777.14,661.34,,,,,
2006-09,778.16,665.99,,,,,
2006-10,775.32,663.99,,,,,
2006-11,806.06,668.65,,,,,
2006-12,806.01,671.3,,,,,
2007-01,821.18,670.28,,,,,
2007-02,835.87,673.25,,,,,
2007-03,836.77,676.95,0.13162663637347172,0.04024525170569804,0.10364466341403245,0.09138138466777368,0.027981972959439272
2007-04,838.32,676.56,0.13780045874672578,0.030760089583618904,0.11187121111344223,0.10704036916310687,0.025929247633283546
2007-05,853.79,680.27,0.11891750212961144,0.04059780031511474,0.09181864470288524,0.0783197018144967,0.0270988574267262
2007-06,866.64,686.31,0.11424824500501429,0.039312485802983146,0.087320593865272,0.07493575920203115,0.026927651139742305
2007-07,851.58,683.59,0.06539390224068271,0.03572673141316047,0.042214996375724595,0.029667170827522245,0.023178905864958122
2007-08,862.92,685.58,0.11037908227603775,0.03665285632201289,0.09140459748702898,0.07372622595402487,0.01897448478900878
2007-09,864.06,686.91,0.11038860902642128,0.03141188306130716,0.0820503447266186,0.07897672596511413,0.028338264299802688
2007-10,856.14,688.57,0.10424082959294217,0.03701862979864161,0.06813384593766733,0.06722219979430057,0.03610698365527485
2007-11,869.0,689.9,0.07808351735602816,0.03178045315187318,0.034350844088701406,0.046303064204154976,0.04373267326732675
2007-12,864.45,690.89,0.07250530390441813,0.02918218382243413,0.031417169980242854,0.043323120081983996,0.04108813392417528
2008-01,821.1,692.55,-9.742078472433236e-05,0.03322492092856714,-0.04304437733638403,-0.03332234171329147,0.0429469565516597
2008-02,841.58,694.88,0.006831205809515877,0.03212773858150761,-0.034598386896603876,-0.02529653277199173,0.041429592706119754
2008-03,854.48,697.2,0.021164716708295034,0.029913582982495013,-0.0185843187930494,-0.00874886627419998,0.03974903550134443
