date,numerator_series_id,denominator_series_id,numerator_name,denominator_name,emp_numerator,emp_denominator,share,detrended_share_ma60,detrended_share_hamilton_logshare,detrended_share_poly3_logempdiff,detrended_log_emp_numerator_poly3,detrended_log_emp_denominator_poly3
2000-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,367.9,1764.3,0.2085246273309527,,,0.0279311109783515,0.0683489709876647,0.0404178600093132
2000-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,368.4,1761.9,0.2090924570066405,,,0.0284831527612805,0.0707308259430066,0.042247673181726
2001-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,367.2,1759.2,0.208731241473397,,,0.0245956655771708,0.0684657010574154,0.0438700354802445
2001-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,363.8,1745.9,0.2083739045764362,,,0.0207327179170064,0.0601348489526945,0.039402131035688
2001-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,362.1,1735.3,0.2086670892641042,,,0.0199981628468872,0.056396771750296,0.0363986089034087
2001-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,360.3,1719.0,0.2095986038394415,,,0.0223207568247412,0.0523335881392705,0.0300128313145293
2001-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,356.4,1700.5,0.2095854160541017,,,0.0201352691565501,0.0423451364289606,0.0222098672724104
2001-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,351.6,1684.1,0.2087762009381866,,,0.0141532595196274,0.0296553438750359,0.0155020843554085
2001-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,345.7,1670.4,0.206956417624521,,,0.003294201521256,0.013577340751989,0.0102831392307329
2001-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,342.7,1654.0,0.2071946795646916,,,0.0023495149762728,0.0056815287381208,0.0033320137618479
2001-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,338.3,1638.0,0.2065323565323565,,,-0.002938356925636,-0.0064452163058161,-0.0035068593801801
2001-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,334.2,1620.4,0.2062453715132066,,,-0.0064057984830849,-0.0178673541203426,-0.0114615556372577
2001-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,330.9,1603.2,0.2063997005988024,,,-0.0077255049952578,-0.0270435080382842,-0.0193180030430264
