date,numerator_series_id,denominator_series_id,numerator_name,denominator_name,emp_numerator,emp_denominator,share,detrended_share_ma60,detrended_share_hamilton_logshare,detrended_share_poly3_logempdiff,detrended_log_emp_numerator_poly3,detrended_log_emp_denominator_poly3
2000-01-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,57.9,593.2,0.0976062036412677,,,-0.0633059155241131,-0.1536385338727983,-0.0903326183486852
2000-02-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.3,592.1,0.0984630974497551,,,-0.0495637954650334,-0.1370354530236932,-0.0874716575586598
2000-03-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.7,597.7,0.0982098042496235,,,-0.0472127671337325,-0.1206142522271633,-0.0734014850934308
2000-04-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.5,600.1,0.097483752707882,,,-0.0497805283981973,-0.114578027283458,-0.0647974988852606
2000-05-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,59.4,599.4,0.0990990990990991,,,-0.0285673055463853,-0.0899952924179956,-0.0614279868716103
2000-06-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.9,603.4,0.0976135233675837,,,-0.0389666996204107,-0.0892666652259466,-0.0502999656055358
2000-07-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.4,605.1,0.0965129730623037,,,-0.0456737962361195,-0.0887431680040569,-0.0430693717679373
2000-08-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.9,606.8,0.0970665787738958,,,-0.035395718756134,-0.0713018990196019,-0.0359061802634679
2000-09-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.7,606.4,0.0968007915567282,,,-0.033652117778697,-0.0659193895924428,-0.0322672718137457
2000-10-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.6,611.9,0.0957672822356594,,,-0.0399731896031889,-0.0589723065296166,-0.0189991169264276
2000-11-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,59.2,621.7,0.0952227762586456,,,-0.0413344158636315,-0.0402646728717464,0.0010697429918851
2000-12-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,59.6,635.1,0.0938434892142969,,,-0.0516564635439067,-0.0251407423288547,0.0265157212150519
2001-01-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,59.4,599.7,0.0990495247623811,,,0.0065321392527621,-0.02024264668563,-0.0267747859383922
2001-02-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,59.0,597.5,0.0987447698744769,,,0.0075761869766983,-0.0188700058444952,-0.0264461928211936
2001-03-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.3,594.4,0.0980820995962314,,,0.004897062360893,-0.0228055181579636,-0.0277025805188566
2001-04-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,58.0,592.8,0.0978407557354925,,,0.0064169679774543,-0.0200939128266837,-0.0265108808041381
2001-05-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,57.6,593.6,0.0970350404312668,,,0.002060891500287,-0.0192723826507483,-0.0213332741510354
2001-06-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,57.0,589.8,0.0966429298067141,,,0.0018544683376982,-0.0221299896446218,-0.02398445798232
2001-07-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,56.4,583.5,0.0966580976863753,,,0.0057840636486758,-0.025226251275118,-0.0310103149237939
2001-08-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,56.7,585.0,0.0969230769230769,,,0.012224640874531,-0.0125627615450616,-0.0247874024195926
2001-09-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,56.1,578.6,0.0969581749049429,,,0.0162201601353908,-0.0159696974757226,-0.0321898576111134
2001-10-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,55.1,577.3,0.0954443097176511,,,0.0040476810517615,-0.026850871823373,-0.0308985528751346
2001-11-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.3,575.3,0.0943855379801842,,,-0.0036119973634343,-0.0344975442987753,-0.030885546935341
2001-12-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.1,577.5,0.0936796536796536,,,-0.0076920568160869,-0.0313344389475047,-0.0236423821314177
2002-01-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.4,558.1,0.0974735710446156,,,0.0353666452720244,-0.0190765598304607,-0.0544432051024852
2002-02-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.2,562.2,0.0964069726076129,,,0.0276542997305853,-0.0161566944966118,-0.0438109942271971
2002-03-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.1,560.8,0.0964693295292439,,,0.0315235332784076,-0.0115246717233614,-0.043048205001769
2002-04-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.2,561.0,0.0966131907308378,,-0.0505082396925185,0.0361688340544561,-0.0033231341738058,-0.0394919682282619
2002-05-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,53.7,560.6,0.0957902247591865,,-0.0728942620782397,0.0307021382573662,-0.0063597215845145,-0.0370618598418808
2002-06-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,53.9,558.5,0.0965085049239033,,-0.0533387870758823,0.0411936573373266,0.003466013873079,-0.0377276434642475
2002-07-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,54.3,559.5,0.0970509383378016,,-0.0306969391119249,0.0497528794548722,0.0168453964665742,-0.032907482988298
2002-08-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,52.9,560.1,0.0944474201035529,,-0.0512029923231103,0.0254482038879224,-0.0034120485557034,-0.0288602524436258
2002-09-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,52.6,563.2,0.0933948863636363,,-0.0707265283636933,0.0170634665091671,-0.0033575801644265,-0.0204210466735936
2002-10-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,53.7,563.5,0.0952972493345164,,-0.0419558510235678,0.0399839721718131,0.0229596685508091,-0.017024303621004
2002-11-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,52.8,563.9,0.0936336229827983,,-0.0441108769015285,0.025063203481233,0.0115573390982079,-0.013505864383025
2002-12-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.7,563.8,0.0916991841078396,,-0.0450304449855791,0.0068125545399135,-0.0041170393699951,-0.0109295939099087
2003-01-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,52.1,565.3,0.0921634530337873,,-0.1139531267009648,0.0144231953452917,0.0088491429579047,-0.005574052387387
2003-02-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,52.0,567.8,0.0915815427967594,,-0.1414183834673932,0.0105850755699594,0.0120673471900141,0.0014822716200546
2003-03-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.9,568.9,0.0912286869397082,,-0.142758549507632,0.0091561241615676,0.015162707491179,0.0060065833296114
2003-04-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.4,566.2,0.0907806428823737,,-0.1079211954042591,0.0066001059675313,0.0103836677656579,0.0037835617981265
2003-05-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.2,563.6,0.0908445706174592,,-0.0971849890821512,0.0096075361222185,0.0112683295833626,0.0016607934611441
2003-06-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.0,562.6,0.0906505510131532,,-0.0948727284077532,0.009709457926331,0.0120198917174536,0.0023104337911226
2003-07-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.5,563.0,0.0914742451154529,,-0.0861913993376228,0.0209315789438817,0.026324122313619,0.0053925433697372
2003-08-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.7,559.8,0.0923544122901036,,-0.0856588108412217,0.0326213047628933,0.034631180978391,0.0020098762154976
2003-09-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.7,557.2,0.0927853553481694,,-0.0851092357193139,0.0393276453746627,0.0389457299414552,-0.0003819154332074
2003-10-01,CES4349220001,CES4349200001,Local messengers and delivery and private postal service,Couriers and messengers,51.9,556.9,0.0931944693840905,,-0.0594467551345561,0.045715797058528,0.0470051866786702,0.0012893896201422
