# Industry: Showcase, partition, shelving, locker, and other furniture related product manufacturing
# Series ID: CES3133721501
# Denominator: Furniture and related product manufacturing (CES3133700001)
# Generated: 2026-03-04
date,employment_level,employment_share,log_level,log_share,trend_level,trend_share,predicted_level_trend,predicted_share_trend,resid_log_level_linear_trend,resid_log_share_quad_trend,hamilton_cf_log_level,hamilton_cf_log_share,predicted_level_hamilton,predicted_share_hamilton,resid_log_level_hamilton,resid_log_share_hamilton
2000-01,147.0,0.2169741697416974,4.990432586778736,-1.5279769659751197,,,,,,,,,,,,
2000-02,147.6,0.2171546270413417,4.994505912166372,-1.5271456121862208,,,,,,,,,,,,
2000-03,147.6,0.2168993387215282,4.994505912166372,-1.528321909925149,,,,,,,,,,,,
2000-04,148.5,0.2178377585448144,5.000584958242754,-1.5240047201259854,,,,,,,,,,,,
2000-05,147.4,0.217243920412675,4.993149979755236,-1.5267344995196876,,,,,,,,,,,,
2000-06,147.4,0.2162558685446009,4.993149979755236,-1.53129299575987,,,,,,,,,,,,
2000-07,147.1,0.2153418240374762,4.991112627607392,-1.5355286341304117,,,,,,,,,,,,
2000-08,146.8,0.2152808329667107,4.9890711161804155,-1.5358119033461919,,,,,,,,,,,,
2000-09,146.5,0.2148723965972426,4.987025428457122,-1.5377109312466806,,,,,,,,,,,,
2000-10,145.7,0.2139186609895756,4.981549713201159,-1.542159425046114,,,,,,,,,,,,
2000-11,146.1,0.2150110375275938,4.984291318756654,-1.5370659148345447,,,,,,,,,,,,
2000-12,145.6,0.2150029533372711,4.980863135762585,-1.5371035144963947,,,,,,,,,,,,
2001-01,145.3,0.2155786350148368,4.9788005705762375,-1.53442954033607,,,,,,,,,,,,
2001-02,144.3,0.2162121666167216,4.971894465779825,-1.5314951005374484,,,,,,,,,,,,
2001-03,143.4,0.21554186081467,4.96563792816552,-1.5346001385823222,,,,,,,,,,,,
2001-04,142.5,0.2165982672138623,4.959341999708705,-1.5297109443832468,,,,,,,,,,,,
2001-05,142.1,0.2176110260336906,4.956531035103055,-1.5250460941733763,,,,,,,,,,,,
2001-06,139.9,0.216865602232212,4.940927881671436,-1.528477461866761,,,,,,,,,,,,
2001-07,138.5,0.2175962293794187,4.930870325627393,-1.5251140923700681,,,,,,,,,,,,
2001-08,136.7,0.2158534659718932,4.917788743729904,-1.533155499792481,,,,,,,,,,,,
2001-09,134.8,0.214240305149396,4.9037921984782065,-1.5406569727059165,,,,,,,,,,,,
2001-10,133.4,0.2140221402214022,4.893352133481524,-1.5416758103332817,,,,,,,,,,,,
2001-11,131.7,0.2129689521345407,4.880526608749236,-1.546608888523977,,,,,,,,,,,,
2001-12,131.0,0.2129388816644993,4.875197323201151,-1.5467500949902828,,,,,,,,,,,,
2002-01,129.9,0.2122202254533573,4.866764923676554,-1.5501307441804701,,,,,,,,,,,,
2002-02,129.7,0.211858869650441,4.865224091322398,-1.551834935188914,,,,,,,,,,,,
2002-03,129.4,0.2116107931316435,4.8629083820668,-1.5530065730604268,,,,,,,,,,,,
2002-04,129.7,0.2117896799477465,4.865224091322398,-1.5521615724611308,,,,,,,,,,,,
2002-05,128.8,0.2113901198096176,4.858260813670253,-1.5540499435841955,,,,,,,,,,,,
2002-06,129.1,0.2116046549745943,4.860587297852597,-1.55303558030521,,,,,,,,,,,,
2002-07,128.5,0.2115922937592623,4.855928904335275,-1.5530939985682553,,,,,,,,,,,,
2002-08,128.6,0.2125619834710743,4.856706811803519,-1.5485216462273228,,,,,,,,,,,,
2002-09,127.5,0.2125,4.848116364598481,-1.5488132906176655,,,,,,,,,,,,
2002-10,126.5,0.2120348642306402,4.840242308167575,-1.5510045639130736,,,,,,,,,,,,
2002-11,125.6,0.2114834147162822,4.833102254034098,-1.5536087009877162,,,,,,,,,,,,
2002-12,124.6,0.2117607070020394,4.825108606353353,-1.5522983823739298,,,,,,,,,,,,
2003-01,124.9,0.2130672125554418,4.827513417131532,-1.5461476111452601,,,,,,,,,,,,
